NO;DEPT_DESC;DEPT_SHORT_DESC;VACANCY;APPLICATION_COUNT;HIRE_COUNT;RECEIVED_DATE;APPROVED_DATE;OPEN_DATE;CLOSE_DATE;ISSUE_DATE
499;(5P) Office of the Assist. Regional Administrator- PBS;5;0550172DEU;138;3;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;23/03/2005 00.00
500;(5P) Office of the Assist. Regional Administrator- PBS;5;0550172DEU;138;3;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;23/03/2005 00.00
501;(5P) Office of the Assist. Regional Administrator- PBS;5;0550172DEU;138;3;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;08/04/2005 00.00
502;(5P) Office of the Assist. Regional Administrator- PBS;5;0550172DEU;138;3;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;08/04/2005 00.00
503;(5P) Office of the Assist. Regional Administrator- PBS;5;0550172DEU;138;3;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;08/04/2005 00.00
504;(5P) Office of the Assist. Regional Administrator- PBS;5;0550172DEU;138;3;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;08/04/2005 00.00
505;(5P) Office of the Assist. Regional Administrator- PBS;5;0550172DEU;138;3;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;08/04/2005 00.00
506;(5P) Office of the Assist. Regional Administrator- PBS;5;0550172DEU;138;3;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;08/04/2005 00.00
507;(5P) Office of the Assist. Regional Administrator- PBS;5;0550172DEU;138;3;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;08/04/2005 00.00
508;(5P) Office of the Assist. Regional Administrator- PBS;5;0550172DEU;138;3;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;08/04/2005 00.00
509;(5P) Office of the Assist. Regional Administrator- PBS;5;0550172DEU;138;3;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;11/02/2005 00.00
510;(5P) Office of the Assist. Regional Administrator- PBS;5;0550172DEU;138;3;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;11/02/2005 00.00
511;(5P) Office of the Assist. Regional Administrator- PBS;5;0550172DEU;138;3;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;15/02/2005 00.00
512;(5P) Office of the Assist. Regional Administrator- PBS;5;0550172DEU;138;3;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;15/02/2005 00.00
513;(5P) Office of the Assist. Regional Administrator- PBS;5;0550172DEU;138;3;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;23/03/2005 00.00
514;(5P) Office of the Assist. Regional Administrator- PBS;5;0550172DEU;138;3;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;23/03/2005 00.00
515;(5P) Office of the Assist. Regional Administrator- PBS;5;0550172DEU;138;3;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;08/04/2005 00.00
516;(5P) Office of the Assist. Regional Administrator- PBS;5;0550172DEU;138;3;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;08/04/2005 00.00
517;(5P) Office of the Assist. Regional Administrator- PBS;5;0550172DEU;138;3;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;08/04/2005 00.00
518;(5P) Office of the Assist. Regional Administrator- PBS;5;0550172DEU;138;3;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;08/04/2005 00.00
519;*(TRP) Local Telc Policy & Strategies Ctr(ABOLISH);CO;050030722MP;7;1;05/04/2005 00.00;05/04/2005 00.00;11/04/2005 00.00;22/04/2005 00.00;25/04/2005 00.00
520;*(2FYB) Products Acquisition Div (ABOLISHED);2;520352;66;1;20/01/2005 00.00;21/01/2005 00.00;27/01/2005 00.00;10/02/2005 00.00;14/02/2005 00.00
521;*(2FYB) Products Acquisition Div (ABOLISHED);2;520352;66;1;20/01/2005 00.00;21/01/2005 00.00;27/01/2005 00.00;10/02/2005 00.00;14/02/2005 00.00
522;*(2FYB) Products Acquisition Div (ABOLISHED);2;520352;66;1;20/01/2005 00.00;21/01/2005 00.00;27/01/2005 00.00;10/02/2005 00.00;14/02/2005 00.00
523;*(9FG) Govt Wide Acquisition Contract Ctr (ABOLISH;9;590861;24;2;01/03/2005 00.00;01/03/2005 00.00;14/03/2005 00.00;27/04/2005 00.00;04/04/2005 00.00
524;*(9FG) Govt Wide Acquisition Contract Ctr (ABOLISH;9;590861;24;2;01/03/2005 00.00;01/03/2005 00.00;14/03/2005 00.00;27/04/2005 00.00;04/04/2005 00.00
525;*(9FG) Govt Wide Acquisition Contract Ctr (ABOLISH;9;590861;24;2;01/03/2005 00.00;01/03/2005 00.00;14/03/2005 00.00;27/04/2005 00.00;04/04/2005 00.00
526;*(9FG) Govt Wide Acquisition Contract Ctr (ABOLISH;9;590861;24;2;01/03/2005 00.00;01/03/2005 00.00;14/03/2005 00.00;27/04/2005 00.00;04/04/2005 00.00
527;*(9FG) Govt Wide Acquisition Contract Ctr (ABOLISH;9;590861;24;2;01/03/2005 00.00;01/03/2005 00.00;14/03/2005 00.00;27/04/2005 00.00;04/04/2005 00.00
528;*(9FG) Govt Wide Acquisition Contract Ctr (ABOLISH;9;590861;24;2;01/03/2005 00.00;01/03/2005 00.00;14/03/2005 00.00;27/04/2005 00.00;04/04/2005 00.00
529;*(7BC)Acctg & Financial Svcs-Grtr SW Ctr( ABOLISH);7;570474;22;2;03/02/2005 00.00;04/02/2005 00.00;04/02/2005 00.00;23/02/2005 00.00;03/03/2005 00.00
530;*(7BC)Acctg & Financial Svcs-Grtr SW Ctr( ABOLISH);7;570474;22;2;03/02/2005 00.00;04/02/2005 00.00;04/02/2005 00.00;23/02/2005 00.00;03/03/2005 00.00
531;(WPZ) Triangle Services Center;N;5990661;36;1;04/02/2005 00.00;09/02/2005 00.00;14/02/2005 00.00;28/02/2005 00.00;07/03/2005 00.00
532;(IA) Office of Enterprise Solutions;CO;050026303MP;32;1;14/03/2005 00.00;14/03/2005 00.00;21/03/2005 00.00;01/04/2005 00.00;07/04/2005 00.00
533;(IA) Office of Enterprise Solutions;CO;050026303MP;32;1;14/03/2005 00.00;14/03/2005 00.00;21/03/2005 00.00;01/04/2005 00.00;07/04/2005 00.00
534;(IA) Office of Enterprise Solutions;CO;050026303MP;32;1;14/03/2005 00.00;14/03/2005 00.00;21/03/2005 00.00;01/04/2005 00.00;07/04/2005 00.00
535;(IA) Office of Enterprise Solutions;CO;050026303MP;32;1;14/03/2005 00.00;14/03/2005 00.00;21/03/2005 00.00;01/04/2005 00.00;07/04/2005 00.00
536;(IA) Office of Enterprise Solutions;CO;050026303MP;32;1;14/03/2005 00.00;14/03/2005 00.00;21/03/2005 00.00;01/04/2005 00.00;07/04/2005 00.00
537;(IA) Office of Enterprise Solutions;CO;050026303MP;32;1;14/03/2005 00.00;14/03/2005 00.00;21/03/2005 00.00;01/04/2005 00.00;07/04/2005 00.00
538;(XB) Office of Business Management;CO;050021701MP;46;1;23/02/2005 00.00;23/02/2005 00.00;24/02/2005 00.00;09/03/2005 00.00;15/03/2005 00.00
539;(7P) Office of the Assist. Regional Administrator- PBS;7;570501;32;1;02/02/2005 00.00;03/02/2005 00.00;03/02/2005 00.00;17/02/2005 00.00;03/03/2005 00.00
540;*(7BC)Acctg & Financial Svcs-Grtr SW Ctr( ABOLISH);7;570534;149;5;17/02/2005 00.00;18/02/2005 00.00;18/02/2005 00.00;07/03/2005 00.00;16/03/2005 00.00
541;*(7BC)Acctg & Financial Svcs-Grtr SW Ctr( ABOLISH);7;570534;149;5;17/02/2005 00.00;18/02/2005 00.00;18/02/2005 00.00;07/03/2005 00.00;16/03/2005 00.00
542;*(7BC)Acctg & Financial Svcs-Grtr SW Ctr( ABOLISH);7;570534;149;5;17/02/2005 00.00;18/02/2005 00.00;18/02/2005 00.00;07/03/2005 00.00;22/03/2005 00.00
543;*(7BC)Acctg & Financial Svcs-Grtr SW Ctr( ABOLISH);7;570534;149;5;17/02/2005 00.00;18/02/2005 00.00;18/02/2005 00.00;07/03/2005 00.00;22/03/2005 00.00
544;*(7F) Office of the Assistant RA- FSS (ABOLISHED);7;570685;4;1;11/03/2005 00.00;11/03/2005 00.00;11/03/2005 00.00;25/03/2005 00.00;05/04/2005 00.00
545;*(PL) Office of Applied Science (ABOLISHED);CO;050015809MP;10;1;11/01/2005 00.00;13/01/2005 00.00;14/01/2005 00.00;07/02/2005 00.00;28/02/2005 00.00
546;*(PL) Office of Applied Science (ABOLISHED);CO;050015809MP;10;1;11/01/2005 00.00;13/01/2005 00.00;14/01/2005 00.00;07/02/2005 00.00;28/02/2005 00.00
547;*(PL) Office of Applied Science (ABOLISHED);CO;050015809MP;10;1;11/01/2005 00.00;13/01/2005 00.00;14/01/2005 00.00;07/02/2005 00.00;04/03/2005 00.00
548;*(PL) Office of Applied Science (ABOLISHED);CO;050015809MP;10;1;11/01/2005 00.00;13/01/2005 00.00;14/01/2005 00.00;07/02/2005 00.00;04/03/2005 00.00
549;*(PL) Office of Applied Science (ABOLISHED);CO;050015809MP;10;1;11/01/2005 00.00;13/01/2005 00.00;14/01/2005 00.00;07/02/2005 00.00;28/02/2005 00.00
550;*(PL) Office of Applied Science (ABOLISHED);CO;050015809MP;10;1;11/01/2005 00.00;13/01/2005 00.00;14/01/2005 00.00;07/02/2005 00.00;28/02/2005 00.00
551;*(PL) Office of Applied Science (ABOLISHED);CO;050015809MP;10;1;11/01/2005 00.00;13/01/2005 00.00;14/01/2005 00.00;07/02/2005 00.00;04/03/2005 00.00
552;*(PL) Office of Applied Science (ABOLISHED);CO;050015809MP;10;1;11/01/2005 00.00;13/01/2005 00.00;14/01/2005 00.00;07/02/2005 00.00;04/03/2005 00.00
553;*(1T) Ofc of the Asst. Reg Admin - FTS (ABOLISHED);1;DEU1 0510412;75;1;01/03/2005 00.00;04/03/2005 00.00;07/03/2005 00.00;18/03/2005 00.00;25/03/2005 00.00
554;*(1T) Ofc of the Asst. Reg Admin - FTS (ABOLISHED);1;DEU1 0510412;75;1;01/03/2005 00.00;04/03/2005 00.00;07/03/2005 00.00;18/03/2005 00.00;25/03/2005 00.00
555;*(1T) Ofc of the Asst. Reg Admin - FTS (ABOLISHED);1;DEU1 0510412;75;1;01/03/2005 00.00;04/03/2005 00.00;07/03/2005 00.00;18/03/2005 00.00;25/03/2005 00.00
556;*(1T) Ofc of the Asst. Reg Admin - FTS (ABOLISHED);1;DEU1 0510412;75;1;01/03/2005 00.00;04/03/2005 00.00;07/03/2005 00.00;18/03/2005 00.00;25/03/2005 00.00
557;*(1T) Ofc of the Asst. Reg Admin - FTS (ABOLISHED);1;DEU1 0510412;75;1;01/03/2005 00.00;04/03/2005 00.00;07/03/2005 00.00;18/03/2005 00.00;25/03/2005 00.00
558;*(1T) Ofc of the Asst. Reg Admin - FTS (ABOLISHED);1;DEU1 0510412;75;1;01/03/2005 00.00;04/03/2005 00.00;07/03/2005 00.00;18/03/2005 00.00;25/03/2005 00.00
559;*(1T) Ofc of the Asst. Reg Admin - FTS (ABOLISHED);1;DEU1 0510412;75;1;01/03/2005 00.00;04/03/2005 00.00;07/03/2005 00.00;18/03/2005 00.00;25/03/2005 00.00
560;*(1T) Ofc of the Asst. Reg Admin - FTS (ABOLISHED);1;DEU1 0510412;75;1;01/03/2005 00.00;04/03/2005 00.00;07/03/2005 00.00;18/03/2005 00.00;25/03/2005 00.00
561;(5PM4) Southern IL/IN Property Mgmt Center;5;0550292MP;5;2;10/03/2005 00.00;11/03/2005 00.00;14/03/2005 00.00;25/03/2005 00.00;14/04/2005 00.00
562;(5PM4) Southern IL/IN Property Mgmt Center;5;0550292MP;5;2;10/03/2005 00.00;11/03/2005 00.00;14/03/2005 00.00;25/03/2005 00.00;14/04/2005 00.00
563;(10P) Office of  Asst Regional Administrator- PBS;10;590970;8;1;17/03/2005 00.00;17/03/2005 00.00;21/03/2005 00.00;01/04/2005 00.00;06/04/2005 00.00
564;(10P) Office of  Asst Regional Administrator- PBS;10;590970;8;1;17/03/2005 00.00;17/03/2005 00.00;21/03/2005 00.00;01/04/2005 00.00;06/04/2005 00.00
565;(5PM4) Southern IL/IN Property Mgmt Center;5;0550292MP;5;2;10/03/2005 00.00;11/03/2005 00.00;14/03/2005 00.00;25/03/2005 00.00;14/04/2005 00.00
566;(5PM4) Southern IL/IN Property Mgmt Center;5;0550292MP;5;2;10/03/2005 00.00;11/03/2005 00.00;14/03/2005 00.00;25/03/2005 00.00;14/04/2005 00.00
567;(5P) Office of the Assist. Regional Administrator- PBS;5;0550162MP;67;4;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;09/02/2005 00.00
568;(5P) Office of the Assist. Regional Administrator- PBS;5;0550162MP;67;4;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;09/02/2005 00.00
569;(5P) Office of the Assist. Regional Administrator- PBS;5;0550162MP;67;4;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;09/02/2005 00.00
570;(5P) Office of the Assist. Regional Administrator- PBS;5;0550162MP;67;4;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;09/02/2005 00.00
571;(5P) Office of the Assist. Regional Administrator- PBS;5;0550162MP;67;4;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;09/02/2005 00.00
572;(5P) Office of the Assist. Regional Administrator- PBS;5;0550162MP;67;4;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;09/02/2005 00.00
573;(5P) Office of the Assist. Regional Administrator- PBS;5;0550162MP;67;4;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;09/02/2005 00.00
574;(5P) Office of the Assist. Regional Administrator- PBS;5;0550162MP;67;4;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;09/02/2005 00.00
575;(5P) Office of the Assist. Regional Administrator- PBS;5;0550162MP;67;4;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;14/02/2005 00.00
576;(5P) Office of the Assist. Regional Administrator- PBS;5;0550162MP;67;4;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;14/02/2005 00.00
577;(5P) Office of the Assist. Regional Administrator- PBS;5;0550162MP;67;4;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;14/02/2005 00.00
578;(5P) Office of the Assist. Regional Administrator- PBS;5;0550162MP;67;4;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;14/02/2005 00.00
579;(5P) Office of the Assist. Regional Administrator- PBS;5;0550162MP;67;4;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;14/02/2005 00.00
580;*(WT) Office of Asst. Reg Admin- FTS (ABOLISHED);N;5990841;1;1;15/03/2005 00.00;16/03/2005 00.00;17/03/2005 00.00;30/03/2005 00.00;05/04/2005 00.00
581;(5P) Office of the Assist. Regional Administrator- PBS;5;0550162MP;67;4;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;18/04/2005 00.00
582;(5P) Office of the Assist. Regional Administrator- PBS;5;0550162MP;67;4;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;18/04/2005 00.00
583;(5P) Office of the Assist. Regional Administrator- PBS;5;0550162MP;67;4;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;18/04/2005 00.00
584;(5P) Office of the Assist. Regional Administrator- PBS;5;0550162MP;67;4;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;18/04/2005 00.00
585;(5P) Office of the Assist. Regional Administrator- PBS;5;0550162MP;67;4;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;18/04/2005 00.00
586;(5P) Office of the Assist. Regional Administrator- PBS;5;0550162MP;67;4;19/01/2005 00.00;19/01/2005 00.00;21/01/2005 00.00;03/02/2005 00.00;18/04/2005 00.00
587;(I) Ofc of the Chief Information Officer;CO;050030303MP;18;1;28/03/2005 00.00;05/04/2005 00.00;06/04/2005 00.00;20/04/2005 00.00;26/04/2005 00.00
588;(L) Office of General Counsel;CO;050033503MP;3;1;18/04/2005 00.00;18/04/2005 00.00;22/04/2005 00.00;28/04/2005 00.00;29/04/2005 00.00
589;*(3T) Federal Technology Service  (ABOLISHED);3;530251;12;2;24/01/2005 00.00;01/02/2005 00.00;11/02/2005 00.00;25/02/2005 00.00;24/03/2005 00.00
590;*(3T) Federal Technology Service  (ABOLISHED);3;530251;12;2;24/01/2005 00.00;01/02/2005 00.00;11/02/2005 00.00;25/02/2005 00.00;24/03/2005 00.00
591;(OLD-6PE) East Service Center;6;560461;6;1;03/03/2005 00.00;04/03/2005 00.00;22/03/2005 00.00;28/03/2005 00.00;07/04/2005 00.00
592;(OLD-6PE) East Service Center;6;560461;6;1;03/03/2005 00.00;04/03/2005 00.00;22/03/2005 00.00;28/03/2005 00.00;19/04/2005 00.00
593;(XCE) Office of E-Gov Solutions Support;CO;050019703DE;16;1;02/02/2005 00.00;07/02/2005 00.00;08/02/2005 00.00;22/02/2005 00.00;28/02/2005 00.00
594;(XCE) Office of E-Gov Solutions Support;CO;050019703DE;16;1;02/02/2005 00.00;07/02/2005 00.00;08/02/2005 00.00;22/02/2005 00.00;28/02/2005 00.00
595;*(7BC)Acctg & Financial Svcs-Grtr SW Ctr( ABOLISH);7;570534;149;5;17/02/2005 00.00;18/02/2005 00.00;18/02/2005 00.00;07/03/2005 00.00;16/03/2005 00.00
596;*(7BC)Acctg & Financial Svcs-Grtr SW Ctr( ABOLISH);7;570534;149;5;17/02/2005 00.00;18/02/2005 00.00;18/02/2005 00.00;07/03/2005 00.00;16/03/2005 00.00
597;*(7BC)Acctg & Financial Svcs-Grtr SW Ctr( ABOLISH);7;570534;149;5;17/02/2005 00.00;18/02/2005 00.00;18/02/2005 00.00;07/03/2005 00.00;16/03/2005 00.00
598;*(7BC)Acctg & Financial Svcs-Grtr SW Ctr( ABOLISH);7;570534;149;5;17/02/2005 00.00;18/02/2005 00.00;18/02/2005 00.00;07/03/2005 00.00;16/03/2005 00.00
599;*(7BC)Acctg & Financial Svcs-Grtr SW Ctr( ABOLISH);7;570534;149;5;17/02/2005 00.00;18/02/2005 00.00;18/02/2005 00.00;07/03/2005 00.00;16/03/2005 00.00
600;*(3FS)Northeast Dist Ctr (Burlington-NJ)-(ABOLISH);3;DEU-3-05-004;84;1;03/01/2005 00.00;03/01/2005 00.00;25/01/2005 00.00;07/02/2005 00.00;25/02/2005 00.00
601;*(3FS)Northeast Dist Ctr (Burlington-NJ)-(ABOLISH);3;DEU-3-05-004;84;1;03/01/2005 00.00;03/01/2005 00.00;25/01/2005 00.00;07/02/2005 00.00;25/02/2005 00.00
602;*(7T) Office of the Assist. RA - FTS (ABOLISHED);7;570304;26;1;07/12/2004 00.00;08/12/2004 00.00;08/12/2004 00.00;22/12/2004 00.00;06/01/2005 00.00
603;*(9FG) Govt Wide Acquisition Contract Ctr (ABOLISH;9;590861;24;2;01/03/2005 00.00;01/03/2005 00.00;14/03/2005 00.00;27/04/2005 00.00;04/04/2005 00.00
604;*(9FG) Govt Wide Acquisition Contract Ctr (ABOLISH;9;590861;24;2;01/03/2005 00.00;01/03/2005 00.00;14/03/2005 00.00;27/04/2005 00.00;04/04/2005 00.00
605;*(9FG) Govt Wide Acquisition Contract Ctr (ABOLISH;9;590861;24;2;01/03/2005 00.00;01/03/2005 00.00;14/03/2005 00.00;27/04/2005 00.00;04/04/2005 00.00
606;(7P) Office of the Assist. Regional Administrator- PBS;7;570511;50;1;02/02/2005 00.00;03/02/2005 00.00;03/02/2005 00.00;17/02/2005 00.00;04/03/2005 00.00
607;(XCI) Office of Intergorernmental Solutions;CO;050024103MP;20;1;28/02/2005 00.00;28/02/2005 00.00;01/03/2005 00.00;14/03/2005 00.00;21/03/2005 00.00
608;(XCI) Office of Intergorernmental Solutions;CO;050025303DE;10;1;28/02/2005 00.00;10/03/2005 00.00;14/03/2005 00.00;18/03/2005 00.00;23/03/2005 00.00
609;*(7T) Office of the Assist. RA - FTS (ABOLISHED);7;570574;24;1;25/02/2005 00.00;28/02/2005 00.00;28/02/2005 00.00;14/03/2005 00.00;30/03/2005 00.00
610;*(7T) Office of the Assist. RA - FTS (ABOLISHED);7;570574;24;1;25/02/2005 00.00;28/02/2005 00.00;28/02/2005 00.00;14/03/2005 00.00;30/03/2005 00.00
611;(WPP) Procurement Management Division;N;5990751;95;1;08/03/2005 00.00;08/03/2005 00.00;11/03/2005 00.00;24/03/2005 00.00;29/03/2005 00.00
612;(WPP) Procurement Management Division;N;5990751;95;1;08/03/2005 00.00;08/03/2005 00.00;11/03/2005 00.00;24/03/2005 00.00;30/03/2005 00.00
613;(WPP) Procurement Management Division;N;5990751;95;1;08/03/2005 00.00;08/03/2005 00.00;11/03/2005 00.00;24/03/2005 00.00;30/03/2005 00.00
614;(WPP) Procurement Management Division;N;5990751;95;1;08/03/2005 00.00;08/03/2005 00.00;11/03/2005 00.00;24/03/2005 00.00;30/03/2005 00.00
615;*(6T) Ofc of the Asst. Reg Admin - FTS (ABOLISHED);6;560381;27;1;10/02/2005 00.00;10/02/2005 00.00;11/03/2005 00.00;17/03/2005 00.00;13/04/2005 00.00
616;*(PL) Office of Applied Science (ABOLISHED);CO;050028909MP;5;0;24/03/2005 00.00;25/03/2005 00.00;31/03/2005 00.00;13/04/2005 00.00;19/04/2005 00.00
617;*(PL) Office of Applied Science (ABOLISHED);CO;050028909MP;5;0;24/03/2005 00.00;25/03/2005 00.00;31/03/2005 00.00;13/04/2005 00.00;19/04/2005 00.00
618;*(PL) Office of Applied Science (ABOLISHED);CO;050028909MP;5;0;24/03/2005 00.00;25/03/2005 00.00;31/03/2005 00.00;13/04/2005 00.00;19/04/2005 00.00
619;(5ADH) Office of Human Resources;5;0550210MP;14;1;08/02/2005 00.00;16/02/2005 00.00;18/02/2005 00.00;04/03/2005 00.00;24/03/2005 00.00
620;(5ADH) Office of Human Resources;5;0550210MP;14;1;08/02/2005 00.00;16/02/2005 00.00;18/02/2005 00.00;04/03/2005 00.00;24/03/2005 00.00
621;*(PL) Office of Applied Science (ABOLISHED);CO;050028909MP;5;0;24/03/2005 00.00;25/03/2005 00.00;31/03/2005 00.00;13/04/2005 00.00;19/04/2005 00.00
622;*(PL) Office of Applied Science (ABOLISHED);CO;050028909MP;5;0;24/03/2005 00.00;25/03/2005 00.00;31/03/2005 00.00;13/04/2005 00.00;19/04/2005 00.00
623;*(PL) Office of Applied Science (ABOLISHED);CO;050028909MP;5;0;24/03/2005 00.00;25/03/2005 00.00;31/03/2005 00.00;13/04/2005 00.00;19/04/2005 00.00
624;(OLD-6PW) West Service Center;6;560431;3;1;14/02/2005 00.00;03/03/2005 00.00;18/03/2005 00.00;24/03/2005 00.00;27/04/2005 00.00
625;*(7F) Office of the Assistant RA- FSS (ABOLISHED);7;570675;20;1;16/03/2005 00.00;17/03/2005 00.00;17/03/2005 00.00;08/04/2005 00.00;14/04/2005 00.00
626;*(7F) Office of the Assistant RA- FSS (ABOLISHED);7;570614;25;1;02/03/2005 00.00;03/03/2005 00.00;03/03/2005 00.00;23/03/2005 00.00;06/04/2005 00.00
627;(5P) Office of the Assist. Regional Administrator- PBS;5;0550351MP;5;2;29/03/2005 00.00;14/04/2005 00.00;18/04/2005 00.00;29/04/2005 00.00;02/05/2005 00.00
628;(5P) Office of the Assist. Regional Administrator- PBS;5;0550351MP;5;2;29/03/2005 00.00;14/04/2005 00.00;18/04/2005 00.00;29/04/2005 00.00;02/05/2005 00.00
629;(5P) Office of the Assist. Regional Administrator- PBS;5;0550351MP;5;2;29/03/2005 00.00;14/04/2005 00.00;18/04/2005 00.00;29/04/2005 00.00;02/05/2005 00.00
630;(5P) Office of the Assist. Regional Administrator- PBS;5;0550351MP;5;2;29/03/2005 00.00;14/04/2005 00.00;18/04/2005 00.00;29/04/2005 00.00;02/05/2005 00.00
631;*(7F) Office of the Assistant RA- FSS (ABOLISHED);7;570705;7;4;14/03/2005 00.00;15/03/2005 00.00;15/03/2005 00.00;28/03/2005 00.00;05/04/2005 00.00
632;*(7F) Office of the Assistant RA- FSS (ABOLISHED);7;570705;7;4;14/03/2005 00.00;15/03/2005 00.00;15/03/2005 00.00;28/03/2005 00.00;05/04/2005 00.00
633;*(7F) Office of the Assistant RA- FSS (ABOLISHED);7;570705;7;4;14/03/2005 00.00;15/03/2005 00.00;15/03/2005 00.00;28/03/2005 00.00;05/04/2005 00.00
634;*(7F) Office of the Assistant RA- FSS (ABOLISHED);7;570705;7;4;14/03/2005 00.00;15/03/2005 00.00;15/03/2005 00.00;28/03/2005 00.00;05/04/2005 00.00
635;(8P) Office of the Assist. Regional Administrator- PBS;8;580281;4;2;07/04/2005 00.00;08/04/2005 00.00;08/04/2005 00.00;22/04/2005 00.00;25/04/2005 00.00
636;(8P) Office of the Assist. Regional Administrator- PBS;8;580281;4;2;07/04/2005 00.00;08/04/2005 00.00;08/04/2005 00.00;22/04/2005 00.00;25/04/2005 00.00
637;(3PA) Office of the Deputy ARA- Operations Support Staff;3;530592;2;1;05/05/2005 00.00;05/05/2005 00.00;09/05/2005 00.00;23/05/2005 00.00;25/05/2005 00.00
638;(PMA) Office of Energy and Environment;CO;050018909DE;42;1;27/01/2005 00.00;28/01/2005 00.00;31/01/2005 00.00;04/02/2005 00.00;09/02/2005 00.00
639;(PMA) Office of Energy and Environment;CO;050018909DE;42;1;27/01/2005 00.00;28/01/2005 00.00;31/01/2005 00.00;04/02/2005 00.00;09/02/2005 00.00
640;*(6FEE) Technical Services Division (ABOLISHED);6;0560334A;9;1;21/12/2004 00.00;15/03/2005 00.00;16/03/2005 00.00;29/03/2005 00.00;01/04/2005 00.00
641;*(7F) Office of the Assistant RA- FSS (ABOLISHED);7;570585;133;1;23/02/2005 00.00;24/02/2005 00.00;24/02/2005 00.00;10/03/2005 00.00;22/03/2005 00.00
642;*(7F) Office of the Assistant RA- FSS (ABOLISHED);7;570585;133;1;23/02/2005 00.00;24/02/2005 00.00;24/02/2005 00.00;10/03/2005 00.00;22/03/2005 00.00
643;(WPZ) Triangle Services Center;N;5990671;21;1;08/02/2005 00.00;09/02/2005 00.00;15/03/2005 00.00;28/03/2005 00.00;04/04/2005 00.00
644;(WPZ) Triangle Services Center;N;5990671;21;1;08/02/2005 00.00;09/02/2005 00.00;15/03/2005 00.00;28/03/2005 00.00;04/04/2005 00.00
645;(S) Ofc of Congressional & Intergovernmental Affairs;CO;050034705MP;2;1;27/04/2005 00.00;18/05/2005 00.00;20/05/2005 00.00;26/05/2005 00.00;03/06/2005 00.00
646;(S) Ofc of Congressional & Intergovernmental Affairs;CO;050034705MP;2;1;27/04/2005 00.00;18/05/2005 00.00;20/05/2005 00.00;26/05/2005 00.00;03/06/2005 00.00
