NO;DEPT_DESC;DEPT_SHORT_DESC;VACANCY;APPLICATION_COUNT;HIRE_COUNT;RECEIVED_DATE;APPROVED_DATE;OPEN_DATE;CLOSE_DATE;ISSUE_DATE;REFERRAL_RETURNED;POS_OFFERED;VAC_LOCATION;HIRED_DATE;SERIES
4251;(7P) Office of the Assist. Regional Administrator- PBS;7;0807081DRMP1;181;11;27/07/2008 00.00;28/07/2008 00.00;30/07/2008 00.00;12/08/2008 00.00;09/09/2008 15.54;09/10/2008;10/10/2008;Houston, TX;26/10/2008 00.00;1101FM
4252;(7P) Office of the Assist. Regional Administrator- PBS;7;0807081DRMP1;181;11;27/07/2008 00.00;28/07/2008 00.00;30/07/2008 00.00;12/08/2008 00.00;09/09/2008 15.54;09/10/2008;10/10/2008;Houston, TX;26/10/2008 00.00;1101FM
4253;(7P) Office of the Assist. Regional Administrator- PBS;7;0807081DRMP1;181;11;27/07/2008 00.00;28/07/2008 00.00;30/07/2008 00.00;12/08/2008 00.00;09/09/2008 15.54;09/10/2008;10/10/2008;Houston, TX;26/10/2008 00.00;1101FM
4254;(7P) Office of the Assist. Regional Administrator- PBS;7;0807081DRMP1;181;11;27/07/2008 00.00;28/07/2008 00.00;30/07/2008 00.00;12/08/2008 00.00;09/09/2008 15.54;09/10/2008;10/10/2008;Houston, TX;26/10/2008 00.00;1101FM
4255;(7P) Office of the Assist. Regional Administrator- PBS;7;0807081DRMP1;181;11;27/07/2008 00.00;28/07/2008 00.00;30/07/2008 00.00;12/08/2008 00.00;09/09/2008 15.54;09/10/2008;10/10/2008;New Orleans Metro Area, LA;26/10/2008 00.00;1101FM
4256;(7P) Office of the Assist. Regional Administrator- PBS;7;0807081DRMP1;181;11;27/07/2008 00.00;28/07/2008 00.00;30/07/2008 00.00;12/08/2008 00.00;09/09/2008 15.54;09/10/2008;10/10/2008;New Orleans Metro Area, LA;26/10/2008 00.00;1101FM
4257;(7P) Office of the Assist. Regional Administrator- PBS;7;0807081DRMP1;181;11;27/07/2008 00.00;28/07/2008 00.00;30/07/2008 00.00;12/08/2008 00.00;09/09/2008 15.54;09/10/2008;10/10/2008;New Orleans Metro Area, LA;26/10/2008 00.00;1101FM
4258;(7P) Office of the Assist. Regional Administrator- PBS;7;0807081DRMP1;181;11;27/07/2008 00.00;28/07/2008 00.00;30/07/2008 00.00;12/08/2008 00.00;09/09/2008 15.54;09/10/2008;10/10/2008;New Orleans Metro Area, LA;26/10/2008 00.00;1101FM
4259;(7P) Office of the Assist. Regional Administrator- PBS;7;0807081DRMP1;181;11;27/07/2008 00.00;28/07/2008 00.00;30/07/2008 00.00;12/08/2008 00.00;09/09/2008 15.54;09/10/2008;10/10/2008;New Orleans Metro Area, LA;26/10/2008 00.00;1101FM
4260;(7P) Office of the Assist. Regional Administrator- PBS;7;0807081DRMP1;181;11;27/07/2008 00.00;28/07/2008 00.00;30/07/2008 00.00;12/08/2008 00.00;09/09/2008 15.54;09/10/2008;10/10/2008;New Orleans Metro Area, LA;26/10/2008 00.00;1101FM
4261;(7P) Office of the Assist. Regional Administrator- PBS;7;0807081DRMP1;181;11;27/07/2008 00.00;28/07/2008 00.00;30/07/2008 00.00;12/08/2008 00.00;09/09/2008 15.54;09/10/2008;10/10/2008;New Orleans Metro Area, LA;26/10/2008 00.00;1101FM
4262;(7P) Office of the Assist. Regional Administrator- PBS;7;0807081DRMP1;181;11;27/07/2008 00.00;28/07/2008 00.00;30/07/2008 00.00;12/08/2008 00.00;09/09/2008 15.54;09/10/2008;10/10/2008;New Orleans Metro Area, LA;26/10/2008 00.00;1101FM
4263;(7P) Office of the Assist. Regional Administrator- PBS;7;0807081DRMP1;181;11;27/07/2008 00.00;28/07/2008 00.00;30/07/2008 00.00;12/08/2008 00.00;09/09/2008 15.54;09/10/2008;10/10/2008;New Orleans Metro Area, LA;26/10/2008 00.00;1101FM
4264;(7P) Office of the Assist. Regional Administrator- PBS;7;0807081DRMP1;181;11;27/07/2008 00.00;28/07/2008 00.00;30/07/2008 00.00;12/08/2008 00.00;09/09/2008 15.54;09/10/2008;10/10/2008;Oklahoma City, OK;26/10/2008 00.00;1101FM
4265;(7P) Office of the Assist. Regional Administrator- PBS;7;0807081DRMP1;181;11;27/07/2008 00.00;28/07/2008 00.00;30/07/2008 00.00;12/08/2008 00.00;09/09/2008 15.54;09/10/2008;10/10/2008;Oklahoma City, OK;26/10/2008 00.00;1101FM
4266;(7P) Office of the Assist. Regional Administrator- PBS;7;0807081DRMP1;181;11;27/07/2008 00.00;28/07/2008 00.00;30/07/2008 00.00;12/08/2008 00.00;09/09/2008 15.54;09/10/2008;10/10/2008;Oklahoma City, OK;26/10/2008 00.00;1101FM
4267;(7P) Office of the Assist. Regional Administrator- PBS;7;0807081DRMP1;181;11;27/07/2008 00.00;28/07/2008 00.00;30/07/2008 00.00;12/08/2008 00.00;09/09/2008 15.54;09/10/2008;10/10/2008;Oklahoma City, OK;26/10/2008 00.00;1101FM
4268;(7P) Office of the Assist. Regional Administrator- PBS;7;0807081DRMP1;181;11;27/07/2008 00.00;28/07/2008 00.00;30/07/2008 00.00;12/08/2008 00.00;09/09/2008 15.54;09/10/2008;10/10/2008;Oklahoma City, OK;26/10/2008 00.00;1101FM
4269;(7P) Office of the Assist. Regional Administrator- PBS;7;0807081DRMP1;181;11;27/07/2008 00.00;28/07/2008 00.00;30/07/2008 00.00;12/08/2008 00.00;09/09/2008 15.54;09/10/2008;10/10/2008;Oklahoma City, OK;26/10/2008 00.00;1101FM
4270;(7P) Office of the Assist. Regional Administrator- PBS;7;0807081DRMP1;181;11;27/07/2008 00.00;28/07/2008 00.00;30/07/2008 00.00;12/08/2008 00.00;09/09/2008 15.54;09/10/2008;10/10/2008;Oklahoma City, OK;26/10/2008 00.00;1101FM
4271;(7P) Office of the Assist. Regional Administrator- PBS;7;0807081DRMP1;181;11;27/07/2008 00.00;28/07/2008 00.00;30/07/2008 00.00;12/08/2008 00.00;09/09/2008 15.54;09/10/2008;10/10/2008;Oklahoma City, OK;26/10/2008 00.00;1101FM
4272;(7P) Office of the Assist. Regional Administrator- PBS;7;0807081DRMP1;181;11;27/07/2008 00.00;28/07/2008 00.00;30/07/2008 00.00;12/08/2008 00.00;09/09/2008 15.54;09/10/2008;10/10/2008;Oklahoma City, OK;26/10/2008 00.00;1101FM
4273;(7P) Office of the Assist. Regional Administrator- PBS;7;0807081DRMP1;181;11;27/07/2008 00.00;28/07/2008 00.00;30/07/2008 00.00;12/08/2008 00.00;09/09/2008 15.54;09/10/2008;10/10/2008;San Antonio [Includes Brooks AFB & Randolph AFB], TX;26/10/2008 00.00;1101FM
4274;(7P) Office of the Assist. Regional Administrator- PBS;7;0807081DRMP1;181;11;27/07/2008 00.00;28/07/2008 00.00;30/07/2008 00.00;12/08/2008 00.00;09/09/2008 15.54;09/10/2008;10/10/2008;San Antonio [Includes Brooks AFB & Randolph AFB], TX;26/10/2008 00.00;1101FM
4275;(7P) Office of the Assist. Regional Administrator- PBS;7;0807081DRMP1;181;11;27/07/2008 00.00;28/07/2008 00.00;30/07/2008 00.00;12/08/2008 00.00;09/09/2008 15.54;09/10/2008;10/10/2008;San Antonio [Includes Brooks AFB & Randolph AFB], TX;26/10/2008 00.00;1101FM
4276;(7P) Office of the Assist. Regional Administrator- PBS;7;0807081DRMP1;181;11;27/07/2008 00.00;28/07/2008 00.00;30/07/2008 00.00;12/08/2008 00.00;09/09/2008 15.54;09/10/2008;10/10/2008;San Antonio [Includes Brooks AFB & Randolph AFB], TX;26/10/2008 00.00;1101FM
4277;(7P) Office of the Assist. Regional Administrator- PBS;7;0807081DRMP1;181;11;27/07/2008 00.00;28/07/2008 00.00;30/07/2008 00.00;12/08/2008 00.00;09/09/2008 15.54;09/10/2008;10/10/2008;San Antonio [Includes Brooks AFB & Randolph AFB], TX;26/10/2008 00.00;1101FM
4278;(7P) Office of the Assist. Regional Administrator- PBS;7;0807081DRMP1;181;11;27/07/2008 00.00;28/07/2008 00.00;30/07/2008 00.00;12/08/2008 00.00;09/09/2008 15.54;09/10/2008;10/10/2008;San Antonio [Includes Brooks AFB & Randolph AFB], TX;26/10/2008 00.00;1101FM
4279;(7P) Office of the Assist. Regional Administrator- PBS;7;0807081DRMP1;181;11;27/07/2008 00.00;28/07/2008 00.00;30/07/2008 00.00;12/08/2008 00.00;09/09/2008 15.54;09/10/2008;10/10/2008;San Antonio [Includes Brooks AFB & Randolph AFB], TX;26/10/2008 00.00;1101FM
4280;(7P) Office of the Assist. Regional Administrator- PBS;7;0807081DRMP1;181;11;27/07/2008 00.00;28/07/2008 00.00;30/07/2008 00.00;12/08/2008 00.00;09/09/2008 15.54;09/10/2008;10/10/2008;San Antonio [Includes Brooks AFB & Randolph AFB], TX;26/10/2008 00.00;1101FM
4281;(7P) Office of the Assist. Regional Administrator- PBS;7;0807081DRMP1;181;11;27/07/2008 00.00;28/07/2008 00.00;30/07/2008 00.00;12/08/2008 00.00;09/09/2008 15.54;09/10/2008;10/10/2008;San Antonio [Includes Brooks AFB & Randolph AFB], TX;26/10/2008 00.00;1101FM
4282;(7QSA) Greater Southwest Acquisition Center;7;0807094DRMP;30;2;11/08/2008 00.00;12/08/2008 00.00;13/08/2008 00.00;26/08/2008 00.00;15/09/2008 16.17;09/10/2008;10/10/2008;Fort Worth, TX;26/10/2008 00.00;1102G
4283;(7QSA) Greater Southwest Acquisition Center;7;0807094DRMP;30;2;11/08/2008 00.00;12/08/2008 00.00;13/08/2008 00.00;26/08/2008 00.00;15/09/2008 16.17;09/10/2008;10/10/2008;Fort Worth, TX;26/10/2008 00.00;1102G
4284;(7P) Office of the Assist. Regional Administrator- PBS;7;0807080DMMP;70;9;29/07/2008 00.00;30/07/2008 00.00;31/07/2008 00.00;14/08/2008 00.00;02/09/2008 10.59;02/09/2008;16/10/2008;Fort Worth, TX;26/10/2008 00.00;1101FM
4285;(7P) Office of the Assist. Regional Administrator- PBS;7;0807080DMMP;70;9;29/07/2008 00.00;30/07/2008 00.00;31/07/2008 00.00;14/08/2008 00.00;02/09/2008 10.59;02/09/2008;16/10/2008;Oklahoma City, OK;26/10/2008 00.00;1101FM
4286;(7P) Office of the Assist. Regional Administrator- PBS;7;0807080DMMP;70;9;29/07/2008 00.00;30/07/2008 00.00;31/07/2008 00.00;14/08/2008 00.00;02/09/2008 11.14;02/09/2008;16/10/2008;Fort Worth, TX;26/10/2008 00.00;1101FM
4287;(7P) Office of the Assist. Regional Administrator- PBS;7;0807080DMMP;70;9;29/07/2008 00.00;30/07/2008 00.00;31/07/2008 00.00;14/08/2008 00.00;02/09/2008 11.14;02/09/2008;16/10/2008;Fort Worth, TX;26/10/2008 00.00;1101FM
4288;(7P) Office of the Assist. Regional Administrator- PBS;7;0807080DMMP;70;9;29/07/2008 00.00;30/07/2008 00.00;31/07/2008 00.00;14/08/2008 00.00;02/09/2008 11.14;02/09/2008;16/10/2008;Fort Worth, TX;26/10/2008 00.00;1101FM
4289;(7P) Office of the Assist. Regional Administrator- PBS;7;0807080DMMP;70;9;29/07/2008 00.00;30/07/2008 00.00;31/07/2008 00.00;14/08/2008 00.00;02/09/2008 11.14;02/09/2008;16/10/2008;Fort Worth, TX;26/10/2008 00.00;1101FM
4290;(7P) Office of the Assist. Regional Administrator- PBS;7;0807080DMMP;70;9;29/07/2008 00.00;30/07/2008 00.00;31/07/2008 00.00;14/08/2008 00.00;02/09/2008 11.14;02/09/2008;16/10/2008;Oklahoma City, OK;26/10/2008 00.00;1101FM
4291;(7P) Office of the Assist. Regional Administrator- PBS;7;0807080DMMP;70;9;29/07/2008 00.00;30/07/2008 00.00;31/07/2008 00.00;14/08/2008 00.00;02/09/2008 11.14;02/09/2008;16/10/2008;Oklahoma City, OK;26/10/2008 00.00;1101FM
4292;(7P) Office of the Assist. Regional Administrator- PBS;7;0807080DMMP;70;9;29/07/2008 00.00;30/07/2008 00.00;31/07/2008 00.00;14/08/2008 00.00;02/09/2008 11.14;02/09/2008;16/10/2008;Oklahoma City, OK;26/10/2008 00.00;1101FM
4293;(7P) Office of the Assist. Regional Administrator- PBS;7;0807080DMMP;70;9;29/07/2008 00.00;30/07/2008 00.00;31/07/2008 00.00;14/08/2008 00.00;02/09/2008 11.14;02/09/2008;16/10/2008;Oklahoma City, OK;26/10/2008 00.00;1101FM
4294;(7P) Office of the Assist. Regional Administrator- PBS;7;0807080DMMP;70;9;29/07/2008 00.00;30/07/2008 00.00;31/07/2008 00.00;14/08/2008 00.00;02/09/2008 11.34;02/09/2008;16/10/2008;Fort Worth, TX;26/10/2008 00.00;1101FM
4295;(7P) Office of the Assist. Regional Administrator- PBS;7;0807080DMMP;70;9;29/07/2008 00.00;30/07/2008 00.00;31/07/2008 00.00;14/08/2008 00.00;02/09/2008 11.34;02/09/2008;16/10/2008;Oklahoma City, OK;26/10/2008 00.00;1101FM
4296;(7P) Office of the Assist. Regional Administrator- PBS;7;0807080DMMP;70;9;29/07/2008 00.00;30/07/2008 00.00;31/07/2008 00.00;14/08/2008 00.00;02/09/2008 11.39;02/09/2008;16/10/2008;Fort Worth, TX;26/10/2008 00.00;1101FM
4297;(7P) Office of the Assist. Regional Administrator- PBS;7;0807080DMMP;70;9;29/07/2008 00.00;30/07/2008 00.00;31/07/2008 00.00;14/08/2008 00.00;02/09/2008 11.39;02/09/2008;16/10/2008;Oklahoma City, OK;26/10/2008 00.00;1101FM
4298;(2P) Office of Asst Regional Administrator- PBS;2;820891;4;1;16/09/2008 00.00;16/09/2008 00.00;18/09/2008 00.00;01/10/2008 00.00;02/10/2008 12.37;20/10/2008;20/10/2008;Syracuse, New York;26/10/2008 00.00;0800T
4299;(7CP) Human Resources & Program Support Div;7;0907001TMMP;1;1;17/09/2008 00.00;03/10/2008 00.00;09/10/2008 00.00;16/10/2008 00.00;17/10/2008 16.05;20/10/2008;20/10/2008;Fort Worth, TX;26/10/2008 00.00;343
4300;(CID) CHRIS Division;CO;0900011TC05;5;2;08/10/2008 00.00;08/10/2008 00.00;10/10/2008 00.00;17/10/2008 00.00;18/10/2008 14.56;23/10/2008;23/10/2008;Throughout the Nation, US;26/10/2008 00.00;0201H
4301;(CID) CHRIS Division;CO;0900011TC05;5;2;08/10/2008 00.00;08/10/2008 00.00;10/10/2008 00.00;17/10/2008 00.00;18/10/2008 14.56;28/10/2008;23/10/2008;Throughout the Nation, US;26/10/2008 00.00;0201H
4302;(BCF) Financial Services Division;7;0807095TMMP;29;1;11/08/2008 00.00;12/08/2008 00.00;13/08/2008 00.00;27/08/2008 00.00;03/09/2008 15.04;18/09/2008;22/09/2008;Fort Worth, TX;27/10/2008 00.00;0510A
4303;(BCF) Financial Services Division;7;0807095TMMP;29;1;11/08/2008 00.00;12/08/2008 00.00;13/08/2008 00.00;27/08/2008 00.00;03/09/2008 15.12;18/09/2008;22/09/2008;Fort Worth, TX;27/10/2008 00.00;0510A
4304;(BCF) Financial Services Division;7;0807095TMMP;29;1;11/08/2008 00.00;12/08/2008 00.00;13/08/2008 00.00;27/08/2008 00.00;03/09/2008 15.16;18/09/2008;22/09/2008;Fort Worth, TX;27/10/2008 00.00;0510A
4305;(CID) CHRIS Division;CO;0900011TC05;5;2;08/10/2008 00.00;08/10/2008 00.00;10/10/2008 00.00;17/10/2008 00.00;18/10/2008 14.56;23/10/2008;28/10/2008;Throughout the Nation, US;28/10/2008 00.00;0201H
4306;(CID) CHRIS Division;CO;0900011TC05;5;2;08/10/2008 00.00;08/10/2008 00.00;10/10/2008 00.00;17/10/2008 00.00;18/10/2008 14.56;28/10/2008;28/10/2008;Throughout the Nation, US;28/10/2008 00.00;0201H
4307;(2P) Office of Asst Regional Administrator- PBS;2;820611;14;1;12/06/2008 00.00;12/06/2008 00.00;16/06/2008 00.00;27/06/2008 00.00;01/07/2008 10.29;28/07/2008;28/07/2008;Central Islip, New York;29/10/2008 00.00;1176P
4308;(CIB) Info Resources & Privacy Mgmt Div.;CO;0900023TC05;2;1;17/10/2008 00.00;17/10/2008 00.00;20/10/2008 00.00;24/10/2008 00.00;27/10/2008 09.34;28/10/2008;28/10/2008;Washington DC Metro Area, DC;29/10/2008 00.00;0343A
4309;(9PD) San Diego Service Center;9;893106;4;1;29/08/2008 00.00;09/09/2008 00.00;10/09/2008 00.00;23/09/2008 00.00;24/09/2008 14.45;29/10/2008;29/10/2008;Honolulu , HI;29/10/2008 00.00;1176M
4310;(XCC) Office of Federal Citizen Information Center;CO;0800208TC02;3;1;22/09/2008 00.00;22/09/2008 00.00;02/10/2008 00.00;16/10/2008 00.00;23/10/2008 11.25;29/10/2008;29/10/2008;Washington DC Metro Area, DC;29/10/2008 00.00;0343AH
4311;(ACM) Office of Management Services;CO;0900018TC05;5;1;14/10/2008 00.00;14/10/2008 00.00;20/10/2008 00.00;24/10/2008 00.00;27/10/2008 08.51;29/10/2008;29/10/2008;Washington DC Metro Area, DC;29/10/2008 00.00;0301GX
4312;(ACM) Office of Management Services;CO;0800201TC04;6;1;19/09/2008 00.00;19/09/2008 00.00;29/09/2008 00.00;10/10/2008 00.00;17/10/2008 10.54;30/10/2008;31/10/2008;Washington DC Metro Area, DC;30/10/2008 00.00;0342A
4313;(BCEA) Financial Information Control Branch;6;080611204MP;17;3;05/09/2008 00.00;12/09/2008 00.00;19/09/2008 00.00;02/10/2008 00.00;07/10/2008 15.58;10/10/2008;31/10/2008;Kansas City, MO;31/10/2008 00.00;0510A
4314;(BCEA) Financial Information Control Branch;6;080611204MP;17;3;05/09/2008 00.00;12/09/2008 00.00;19/09/2008 00.00;02/10/2008 00.00;07/10/2008 15.58;30/10/2008;31/10/2008;Kansas City, MO;31/10/2008 00.00;0510A
4315;(MT) Office of Travel, Transp. & Asset Mgt;CO;0800137TC02-DE;21;1;23/07/2008 00.00;23/07/2008 00.00;13/08/2008 00.00;27/08/2008 00.00;28/08/2008 14.36;17/09/2008;17/09/2008;Washington DC Metro Area, DC;03/11/2008 00.00;0343AM
4316;(MT) Office of Travel, Transp. & Asset Mgt;CO;0800137TC02-DE;21;1;23/07/2008 00.00;23/07/2008 00.00;13/08/2008 00.00;27/08/2008 00.00;28/08/2008 14.51;17/09/2008;17/09/2008;Washington DC Metro Area, DC;03/11/2008 00.00;0343AM
4317;(XAP) Public Affairs Div;CO;0800177TC06;9;1;21/08/2008 00.00;21/08/2008 00.00;27/08/2008 00.00;10/09/2008 00.00;15/09/2008 08.40;08/10/2008;14/10/2008;Washington, DC;03/11/2008 00.00;1035C
4318;(MTC) Center for Policy Evaluation and Compliance;CO;0800200TC05;22;1;19/09/2008 00.00;19/09/2008 00.00;23/09/2008 00.00;06/10/2008 00.00;07/10/2008 14.20;08/10/2008;14/10/2008;Washington DC Metro Area, DC;03/11/2008 00.00;0343AN
4319;(CHM) Human Capital Strategic Planning Div.;CO;0900008TC05;3;1;01/10/2008 00.00;01/10/2008 00.00;09/10/2008 00.00;16/10/2008 00.00;17/10/2008 08.02;30/10/2008;30/10/2008;Throughout the Nation, US;03/11/2008 00.00;0201AD
4320;(BCEA) Financial Information Control Branch;6;080611204MP;17;3;05/09/2008 00.00;12/09/2008 00.00;19/09/2008 00.00;02/10/2008 00.00;07/10/2008 15.59;10/10/2008;03/11/2008;Kansas City, MO;03/11/2008 00.00;0510A
4321;(BCEA) Financial Information Control Branch;6;080611204MP;17;3;05/09/2008 00.00;12/09/2008 00.00;19/09/2008 00.00;02/10/2008 00.00;07/10/2008 15.59;30/10/2008;03/11/2008;Kansas City, MO;03/11/2008 00.00;0510A
4322;(5PM4) Southern IL/IN Property Mgmt Center;5;0805096COMP;4;1;05/09/2008 00.00;05/09/2008 00.00;08/09/2008 00.00;19/09/2008 00.00;25/09/2008 10.25;28/10/2008;04/11/2008;Indianapolis Metro Area, IN;04/11/2008 00.00;1176P
4323;(Q) Office of the Commissioner, FAS;CO;0800191TC02;14;1;11/09/2008 00.00;11/09/2008 00.00;25/09/2008 00.00;08/10/2008 00.00;10/10/2008 13.38;29/10/2008;04/11/2008;Arlington, VA;04/11/2008 00.00;0343BB
4324;(Q) Office of the Commissioner, FAS;CO;0800191TC02;14;1;11/09/2008 00.00;11/09/2008 00.00;25/09/2008 00.00;08/10/2008 00.00;18/11/2008 12.58;29/10/2008;04/11/2008;Arlington, VA;04/11/2008 00.00;0343BB
4325;(Q) Office of the Commissioner, FAS;CO;0800191TC02;14;1;11/09/2008 00.00;11/09/2008 00.00;25/09/2008 00.00;08/10/2008 00.00;18/11/2008 13.10;29/10/2008;04/11/2008;Arlington, VA;04/11/2008 00.00;0343BB
4326;(6CPC-CO) Hr Consolidated Processing Center;6;090601008MP;21;1;16/10/2008 00.00;16/10/2008 00.00;22/10/2008 00.00;28/10/2008 00.00;31/10/2008 10.21;04/11/2008;04/11/2008;Kansas City, MO;04/11/2008 00.00;0201AE
4327;(6CPC-CO) Hr Consolidated Processing Center;6;090601008MP;21;1;16/10/2008 00.00;16/10/2008 00.00;22/10/2008 00.00;28/10/2008 00.00;31/10/2008 10.23;04/11/2008;04/11/2008;Kansas City, MO;04/11/2008 00.00;0201AE
4328;(BCEA) Financial Information Control Branch;6;090600104DE;113;4;08/10/2008 00.00;10/10/2008 00.00;16/10/2008 00.00;27/10/2008 00.00;03/11/2008 12.05;14/11/2008;04/11/2008;Kansas City, MO;04/11/2008 00.00;0510A
4329;(BCEA) Financial Information Control Branch;6;090600104DE;113;4;08/10/2008 00.00;10/10/2008 00.00;16/10/2008 00.00;27/10/2008 00.00;03/11/2008 12.05;14/11/2008;04/11/2008;Kansas City, MO;04/11/2008 00.00;0510A
4330;(BCEA) Financial Information Control Branch;6;090600104DE;113;4;08/10/2008 00.00;10/10/2008 00.00;16/10/2008 00.00;27/10/2008 00.00;03/11/2008 12.05;14/11/2008;04/11/2008;Kansas City, MO;04/11/2008 00.00;0510A
4331;(BCEA) Financial Information Control Branch;6;090600104DE;113;4;08/10/2008 00.00;10/10/2008 00.00;16/10/2008 00.00;27/10/2008 00.00;03/11/2008 12.15;14/11/2008;04/11/2008;Kansas City, MO;04/11/2008 00.00;0510A
4332;(BCEA) Financial Information Control Branch;6;090600104DE;113;4;08/10/2008 00.00;10/10/2008 00.00;16/10/2008 00.00;27/10/2008 00.00;03/11/2008 12.15;14/11/2008;04/11/2008;Kansas City, MO;04/11/2008 00.00;0510A
4333;(BCEA) Financial Information Control Branch;6;090600104DE;113;4;08/10/2008 00.00;10/10/2008 00.00;16/10/2008 00.00;27/10/2008 00.00;03/11/2008 12.15;14/11/2008;04/11/2008;Kansas City, MO;04/11/2008 00.00;0510A
4334;(JI-5) Chicago Zone Investigations Office;J;JI-5-08-09 MP;10;1;29/08/2008 00.00;10/09/2008 00.00;25/09/2008 00.00;09/10/2008 00.00;24/10/2008 14.49;17/11/2008;04/11/2008;Chicago Metro Area, IL;04/11/2008 00.00;1811A
4335;(JI-5) Chicago Zone Investigations Office;J;JI-5-08-09 MP;10;1;29/08/2008 00.00;10/09/2008 00.00;25/09/2008 00.00;09/10/2008 00.00;24/10/2008 14.49;17/11/2008;04/11/2008;Chicago Metro Area, IL;04/11/2008 00.00;1811A
4336;(BCEA) Financial Information Control Branch;6;090600104DE;113;4;08/10/2008 00.00;10/10/2008 00.00;16/10/2008 00.00;27/10/2008 00.00;03/11/2008 12.05;06/01/2009;04/11/2008;Kansas City, MO;04/11/2008 00.00;0510A
4337;(BCEA) Financial Information Control Branch;6;090600104DE;113;4;08/10/2008 00.00;10/10/2008 00.00;16/10/2008 00.00;27/10/2008 00.00;03/11/2008 12.05;06/01/2009;04/11/2008;Kansas City, MO;04/11/2008 00.00;0510A
4338;(BCEA) Financial Information Control Branch;6;090600104DE;113;4;08/10/2008 00.00;10/10/2008 00.00;16/10/2008 00.00;27/10/2008 00.00;03/11/2008 12.05;06/01/2009;04/11/2008;Kansas City, MO;04/11/2008 00.00;0510A
4339;(BCEA) Financial Information Control Branch;6;090600104DE;113;4;08/10/2008 00.00;10/10/2008 00.00;16/10/2008 00.00;27/10/2008 00.00;03/11/2008 12.15;06/01/2009;04/11/2008;Kansas City, MO;04/11/2008 00.00;0510A
4340;(BCEA) Financial Information Control Branch;6;090600104DE;113;4;08/10/2008 00.00;10/10/2008 00.00;16/10/2008 00.00;27/10/2008 00.00;03/11/2008 12.15;06/01/2009;04/11/2008;Kansas City, MO;04/11/2008 00.00;0510A
4341;(BCEA) Financial Information Control Branch;6;090600104DE;113;4;08/10/2008 00.00;10/10/2008 00.00;16/10/2008 00.00;27/10/2008 00.00;03/11/2008 12.15;06/01/2009;04/11/2008;Kansas City, MO;04/11/2008 00.00;0510A
4342;(1PC) Property Development Division;1;08010572DE;26;1;30/07/2008 00.00;25/08/2008 00.00;08/09/2008 00.00;19/09/2008 00.00;25/09/2008 14.03;06/11/2008;06/11/2008;Boston Metro Area, MA;06/11/2008 00.00;0828B
4343;*(PV) Office of Real Property Asset Mgmt (ABOLISH);CO;0800219TC04;1;1;26/09/2008 00.00;26/09/2008 00.00;16/10/2008 00.00;29/10/2008 00.00;30/10/2008 11.55;06/11/2008;06/11/2008;Washington DC Metro Area, DC;06/11/2008 00.00;0301EV
4344;(QC) Office of Customer Accounts and Research;CO;090000603MP;3;1;22/10/2008 00.00;22/10/2008 00.00;23/10/2008 00.00;29/10/2008 00.00;30/10/2008 16.36;06/11/2008;06/11/2008;Alexandria & Arlington & Falls Church [Includes Ft. Myer & Rosslyn VA], VA;06/11/2008 00.00;1101DB
4345;(Q) Office of the Commissioner, FAS;CO;090000826MP;26;1;17/10/2008 00.00;24/10/2008 00.00;24/10/2008 00.00;31/10/2008 00.00;05/11/2008 15.22;06/11/2008;06/11/2008;Arlington, VA;06/11/2008 00.00;0343AU
4346;(QV) Office of Acquisition Management;CO;0800158TC05;40;3;04/08/2008 00.00;04/08/2008 00.00;14/08/2008 00.00;27/08/2008 00.00;28/08/2008 13.22;09/10/2008;09/10/2008;Arlington, VA;09/11/2008 00.00;0343BG
4347;(7P) Office of the Assist. Regional Administrator- PBS;7;0807080DMMP;70;9;29/07/2008 00.00;30/07/2008 00.00;31/07/2008 00.00;14/08/2008 00.00;02/09/2008 11.14;02/09/2008;16/10/2008;Fort Worth, TX;09/11/2008 00.00;1101FM
4348;(7P) Office of the Assist. Regional Administrator- PBS;7;0807080DMMP;70;9;29/07/2008 00.00;30/07/2008 00.00;31/07/2008 00.00;14/08/2008 00.00;02/09/2008 11.14;02/09/2008;16/10/2008;Oklahoma City, OK;09/11/2008 00.00;1101FM
4349;(7P) Office of the Assist. Regional Administrator- PBS;7;0807080DMMP;70;9;29/07/2008 00.00;30/07/2008 00.00;31/07/2008 00.00;14/08/2008 00.00;02/09/2008 11.34;02/09/2008;16/10/2008;Fort Worth, TX;09/11/2008 00.00;1101FM
4350;(7P) Office of the Assist. Regional Administrator- PBS;7;0807080DMMP;70;9;29/07/2008 00.00;30/07/2008 00.00;31/07/2008 00.00;14/08/2008 00.00;02/09/2008 11.34;02/09/2008;16/10/2008;Oklahoma City, OK;09/11/2008 00.00;1101FM
4351;(7QFA) Assisted Acquisition Services Division;7;0807111DRMP;27;1;15/09/2008 00.00;16/09/2008 00.00;17/09/2008 00.00;01/10/2008 00.00;08/10/2008 16.00;24/10/2008;25/10/2008;Fort Worth, TX;09/11/2008 00.00;1102G
4352;(7QFA) Assisted Acquisition Services Division;7;0807111DRMP;27;1;15/09/2008 00.00;16/09/2008 00.00;17/09/2008 00.00;01/10/2008 00.00;20/10/2008 12.07;24/10/2008;25/10/2008;Fort Worth, TX;09/11/2008 00.00;1102G
